Date/Time: Thursday, February 21, 2019. 13:18
CoreName: NTG-118-1av2	StartPos: 0.0 cm	StopPos: 38.0 cm
Operator: EB	Counting: Depth	LengthUnit: cm
SensorType: MS2E surface	Unit: SI	Range: 0.1
CoreType: Half	CoreDiameter: 90 mm	CoreLength: 38 cm
DriveMode: Stepwise	Interval: 0.2 cm
DriveDirection: Right	ZeroMeasure: On
Zero1: 0.00	Zero2: 0.00
========================================================
Core Pos.(cm)	Raw Data	Drift Corr.	Volum Corr.
========================================================
		29.4		-0.09		0.41		0.00
		29.6		-0.05		0.47		0.00
		29.8		-0.08		0.47		0.00
		30.0		-0.07		0.49		0.00
		30.2		-0.08		0.52		0.00
		30.4		-0.05		0.55		0.00
		30.6		-0.13		0.49		0.00
		30.8		-0.06		0.55		0.00
		31.0		-0.14		0.52		0.00
		31.2		-0.11		0.55		0.00
		31.4		-0.14		0.55		0.00
		31.6		-0.14		0.56		0.00
		31.8		-0.20		0.53		0.00
		32.0		-0.15		0.57		0.00
		32.2		-0.19		0.58		0.00
		32.4		-0.17		0.59		0.00
		32.6		-0.28		0.53		0.00
		32.8		-0.24		0.57		0.00
		33.0		-0.29		0.57		0.00
		33.2		-0.31		0.56		0.00
		33.4		-0.40		0.49		0.00
		33.6		-0.40		0.50		0.00
		33.8		-0.48		0.45		0.00
		34.0		-0.50		0.44		0.00
		34.2		-0.62		0.36		0.00
		34.4		-0.66		0.33		0.00
		34.6		-0.75		0.28		0.00
		34.8		-0.76		0.30		0.00
		35.0		-0.85		0.26		0.00
		35.2		-0.79		0.36		0.00
		35.4		-0.81		0.36		0.00
		35.6		-0.74		0.50		0.00
		35.8		-0.81		0.45		0.00
		36.0		-0.82		0.51		0.00
		36.2		-0.94		0.46		0.00
		36.4		-1.18		0.24		0.00
		36.6		-1.37		0.07		0.00
		36.8		-1.41		-0.01		0.00
		37.0		-1.42		-0.01		0.00
		37.2		-1.37		-0.03		0.00
		37.4		-1.40		-0.05		0.00
		37.6		-1.35		-0.03		0.00
		37.8		-1.41		-0.08		0.00
		38.0		-1.41		-0.08		0.00

